,date,hora,Year,DOY,Hour,Minute,Lat,Lon,AOD_Type,AOD_047,AOD_055,AOD_Uncertainty,QA_AOD,timestamp
1,2015001,1720,2015,1,17,20,NA,NA,T,NA,NA,NA,NA,20150011720
2,2015001,1855,2015,1,18,55,34.27083333,-118.2812213,T,0.1223,0.08887,0.013,0,20150011855
3,2015001,2030,2015,1,20,30,NA,NA,T,NA,NA,NA,NA,20150012030
4,2015001,2035,2015,1,20,35,34.27083333,-118.2812213,A,0.083,0.06019,0.0068,0,20150012035
5,2015001,2215,2015,1,22,15,NA,NA,A,NA,NA,NA,NA,20150012215
6,2015002,1800,2015,2,18,0,34.27083333,-118.2812213,T,0.07621,0.05527,0.0061,0,20150021800
7,2015002,1940,2015,2,19,40,NA,NA,A,NA,NA,NA,NA,20150021940
8,2015002,1940,2015,2,19,40,NA,NA,T,NA,NA,NA,NA,20150021940
9,2015002,2120,2015,2,21,20,34.27083333,-118.2812213,A,0.10287,0.0747,0.0158,0,20150022120
10,2015003,1705,2015,3,17,5,NA,NA,T,NA,NA,NA,NA,20150031705
11,2015003,1845,2015,3,18,45,34.27083333,-118.2812213,T,0.18271,0.13317,0.0169,0,20150031845
12,2015003,2020,2015,3,20,20,NA,NA,T,NA,NA,NA,NA,20150032020
13,2015003,2025,2015,3,20,25,34.27083333,-118.2812213,A,0.13855,0.10067,0.0046,0,20150032025
14,2015004,1750,2015,4,17,50,NA,NA,T,NA,NA,NA,NA,20150041750
15,2015004,1925,2015,4,19,25,NA,NA,A,NA,NA,NA,NA,20150041925
16,2015004,1925,2015,4,19,25,34.27083333,-118.2812213,T,0.04608,0.03337,0.0045,0,20150041925
17,2015004,2105,2015,4,21,5,34.27083333,-118.2711372,A,0.13058,0.09492,0.0178,0,20150042105
18,2015005,1655,2015,5,16,55,NA,NA,T,NA,NA,NA,NA,20150051655
19,2015005,1830,2015,5,18,30,34.27083333,-118.2812213,T,0.11217,0.08156,0.0165,0,20150051830
20,2015005,2010,2015,5,20,10,NA,NA,A,NA,NA,NA,NA,20150052010
21,2015005,2010,2015,5,20,10,NA,NA,T,NA,NA,NA,NA,20150052010
22,2015005,2150,2015,5,21,50,34.27083333,-118.2812213,A,0.03431,0.02478,0.0065,0,20150052150
23,2015006,1735,2015,6,17,35,NA,NA,T,NA,NA,NA,NA,20150061735
24,2015006,1915,2015,6,19,15,34.27083333,-118.2812213,T,0.02451,0.01765,0.0067,0,20150061915
25,2015006,2055,2015,6,20,55,34.27083333,-118.2812213,A,0.0488,0.03533,0.0133,0,20150062055
26,2015006,2230,2015,6,22,30,NA,NA,A,NA,NA,NA,NA,20150062230
27,2015007,1820,2015,7,18,20,34.27083333,-118.2812213,T,0.11128,0.08087,0.0109,0,20150071820
28,2015007,1955,2015,7,19,55,NA,NA,T,NA,NA,NA,NA,20150071955
29,2015007,2000,2015,7,20,0,NA,NA,A,NA,NA,NA,NA,20150072000
30,2015007,2135,2015,7,21,35,34.10416666,-118.2792105,A,0.09596,0.06971,0.0096,0,20150072135
